"sampleID","read_count","d_Eukaryota","p_Proteobacteria","c_Clostridia","o_Micrococcales","f_Carnobacteriaceae","f_Corynebacteriaceae","f_Enterobacteriaceae","f_Lachnospiraceae","f_Mycoplasmataceae","f_Neisseriaceae","f_Pasteurellaceae","f_Peptostreptococcaceae","f_Prevotellaceae","g_Acinetobacter","g_Actinomyces","g_Actinotignum","g_Aerococcus","g_Alistipes","g_Alloprevotella","g_Anaerococcus","g_Anaeroglobus","g_Arcanobacterium","g_Bacteroides","g_Bulleidia","g_Campylobacter","g_Citrobacter","g_Corynebacterium","g_Cupriavidus","g_Delftia","g_Dialister","g_Enterobacter","g_Enterococcus","g_Ezakiella","g_Facklamia","g_Finegoldia","g_Fusobacterium","g_Gallicola","g_Gemella","g_Granulicatella","g_Haemophilus","g_Howardella","g_Jonquetella","g_Klebsiella","g_Kluyvera","g_Kocuria","g_Lachnoclostridium","g_Lactobacillus","g_Lactococcus","g_Lawsonella","g_Megasphaera","g_Micrococcus","g_Mobiluncus","g_Mogibacterium","g_Moryella","g_Murdochiella","g_Mycoplasma","g_Negativicoccus","g_Neisseria","g_Parvimonas","g_Peptococcus","g_Peptoniphilus","g_Peptostreptococcus","g_Phascolarctobacterium","g_Porphyromonas","g_Prevotella","g_Propionimicrobium","g_Proteus","g_Ralstonia","g_Rothia","g_Sneathia","g_Solobacterium","g_Sphingomonas","g_Staphylococcus","g_Stenotrophomonas","g_Streptococcus","g_Sutterella","g_Ureaplasma","g_Varibaculum","g_Variovorax","g_Veillonella","Atopobium_deltae","Atopobium_minutum","Atopobium_vaginae","Gardnerella_vaginalis","Lactobacillus_crispatus","Lactobacillus_delbrueckii","Lactobacillus_gasseri","Lactobacillus_iners","Lactobacillus_jensenii","Prevotella_amnii","Prevotella_bivia","Prevotella_buccalis","Prevotella_colorans","Prevotella_disiens","Prevotella_timonensis","Sneathia_amnii","Sneathia_sanguinegens"
"SRR2915463",7788,0,0,720,0,0,0,0,0,0,0,0,0,2069,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,999,0,0,270,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2069,0,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,2338,0,2,0,0,990,0,1551,0,0,0,0,0,0,0
"SRR2915464",5918,0,282,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,286,0,0,5111,221,0,0,0,0,0,0,0,0
"SRR2915465",8909,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8767,0,0,76,42,0,0,0,0,0,0,0,0
"SRR2915466",5975,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5474,0,0,0,0,0,0,0,0,0
"SRR2915467",7774,0,0,1219,0,0,0,0,0,0,0,0,0,1093,0,0,0,12,0,0,7,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,10,0,0,759,0,0,0,0,0,0,0,0,102,0,0,0,0,0,1093,0,0,0,0,2156,0,0,0,0,0,0,0,0,0,0,0,0,1896,5,0,0,0,10,0,727,0,0,0,0,0,25,0
"SRR2915468",7127,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6567,0,0,0,0,0,0,0,0,0
"SRR2915469",8975,0,0,45,0,0,0,0,0,0,0,0,0,692,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,0,1445,0,0,0,0,0,0,0,0,0,0,9,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6146,0,0,0,0,488,0,0,148,0,0,0,0,0,0
"SRR2915470",6773,0,618,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,6,0,0,0,0,0,0,0,0,0
"SRR2915471",6477,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
"SRR2915472",6825,0,0,160,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,2385,0,0,0,0,0,0,0,0,0,0,0,0,2968,0,0,0,0,0,0,0,0,0,16,0,0,1906,0
