"sampleID","read_count","d_Eukaryota","p_Proteobacteria","c_Clostridia","o_Clostridiales","o_Micrococcales","f_Carnobacteriaceae","f_Corynebacteriaceae","f_Enterobacteriaceae","f_Lachnospiraceae","f_Mycoplasmataceae","f_Neisseriaceae","f_Pasteurellaceae","f_Peptostreptococcaceae","f_Prevotellaceae","f_Ruminococcaceae","g_Acidaminococcus","g_Acinetobacter","g_Actinobacillus","g_Actinomyces","g_Actinotignum","g_Aerococcus","g_Akkermansia","g_Alistipes","g_Alloprevotella","g_Alloscardovia","g_Anaerococcus","g_Anaeroglobus","g_Anaerostipes","g_Arcanobacterium","g_Bacillus","g_Bacteroides","g_Bergeyella","g_Bifidobacterium","g_Blautia","g_Brevibacterium","g_Bulleidia","g_Campylobacter","g_Catonella","g_Collinsella","g_Corynebacterium","g_Cupriavidus","g_Delftia","g_Dermabacter","g_Dialister","g_Dorea","g_Enhydrobacter","g_Enterococcus","g_Ezakiella","g_Facklamia","g_Faecalibacterium","g_Finegoldia","g_Fusicatenibacter","g_Fusobacterium","g_Gallicola","g_Gemella","g_Globicatella","g_Granulicatella","g_Haemophilus","g_Helcobacillus","g_Helcococcus","g_Helicobacter","g_Howardella","g_Jonquetella","g_Klebsiella","g_Kocuria","g_Lachnoclostridium","g_Lachnospira","g_Lactobacillus","g_Lactococcus","g_Lawsonella","g_Leptotrichia","g_Leucobacter","g_Megasphaera","g_Micrococcus","g_Mobiluncus","g_Mogibacterium","g_Moryella","g_Murdochiella","g_Mycoplasma","g_Negativicoccus","g_Neisseria","g_Nosocomiicoccus","g_Oligella","g_Olsenella","g_Parabacteroides","g_Parvimonas","g_Peptococcus","g_Peptoniphilus","g_Peptostreptococcus","g_Phascolarctobacterium","g_Porphyromonas","g_Prevotella","g_Proteus","g_Pseudarthrobacter","g_Pyramidobacter","g_Ralstonia","g_Romboutsia","g_Roseburia","g_Rothia","g_Senegalimassilia","g_Shewanella","g_Slackia","g_Sneathia","g_Solobacterium","g_Sphingomonas","g_Staphylococcus","g_Stenotrophomonas","g_Streptococcus","g_Subdoligranulum","g_Sutterella","g_Tessaracoccus","g_Trichococcus","g_Trueperella","g_Ureaplasma","g_Varibaculum","g_Variovorax","g_Veillonella","g_Weeksella","Atopobium_deltae","Atopobium_parvulum","Atopobium_vaginae","Gardnerella_vaginalis","Lactobacillus_crispatus","Lactobacillus_delbrueckii","Lactobacillus_gasseri","Lactobacillus_iners","Prevotella_amnii","Prevotella_bivia","Prevotella_buccalis","Prevotella_corporis","Prevotella_disiens","Prevotella_nanceiensis","Prevotella_oris","Prevotella_timonensis","Sneathia_sanguinegens"
"SRR18691297",185666,0,146,874,0,402,0,1768,14,22,0,0,0,0,251,14,0,0,0,396,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,23,0,0,1746,0,0,0,40,11,0,5,30,33,14,154,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,181316,0,22,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,22,251,0,0,0,0,0,0,0,0,0,0,9,0,10,19,22,0,0,6,0,0,0,0,38,0,0,0,0,0,0,41,0,0,0,85,0,0,0,64,0,0,0,82,0
"SRR18691298",190783,0,154,4189,15,789,0,2652,0,295,0,0,0,36,1816,105,0,0,0,987,0,0,0,0,0,28,1286,0,0,8,0,39,0,17,35,49,0,145,0,0,2564,0,0,0,395,16,0,0,131,0,61,978,17,0,0,0,0,0,0,0,222,0,37,19,0,0,24,8,178989,0,88,0,0,12,0,7,12,6,3,0,0,0,0,0,0,0,0,14,912,20,0,94,1634,0,0,0,0,0,25,0,0,0,0,12,0,0,54,0,50,19,34,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,113,0,0,274,722,0,0,0,192,12
"SRR18691299",162728,0,117,197,0,5,0,68,13,32,905,6,12,4,104,24,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,68,0,0,0,17,0,0,0,0,0,10,110,0,0,0,0,0,0,12,0,0,0,0,0,13,0,0,0,159564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,104,0,0,0,0,0,0,0,0,0,0,7,0,0,54,0,25,0,0,0,0,0,905,0,0,0,0,0,0,9,44,20934,0,0,59,0,101,0,0,0,0,0,0,0
"SRR18691300",121571,0,364,4868,0,0,0,458,339,68,2314,0,25,67,12843,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,32,0,0,0,0,0,0,458,0,0,0,503,0,0,9,0,0,0,3306,0,0,0,15,0,0,25,0,0,0,56,0,134,0,0,0,96587,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942,67,0,0,12843,0,0,0,0,0,0,0,0,0,0,0,0,0,724,0,1344,0,0,0,0,0,2314,0,0,38,0,0,0,0,21,5226,0,0,31,0,6684,0,0,0,0,0,0,0
"SRR18691301",212727,0,35,265,0,0,0,361,14,111,2030,0,0,0,49,39,0,4,0,0,0,0,0,13,0,0,0,0,17,0,0,127,0,35,38,0,0,0,0,0,361,0,0,0,6,9,0,0,0,0,30,75,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,3,193191,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,7,0,0,20,0,8,0,39,0,0,0,0,0,0,0,0,0,0,26,0,0,403,0,84,0,0,0,0,0,2030,0,0,0,0,0,0,13,12357,15282,0,0,66090,22,0,0,0,0,0,0,6,0
"SRR18691302",169014,0,184,7807,0,146,0,6397,23,63,646,103,0,58,1122,0,0,0,0,0,0,0,0,0,0,0,2282,0,0,0,0,0,0,0,0,0,0,0,0,0,6393,0,0,0,245,0,0,23,0,0,0,3345,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,140853,0,4,0,0,15,146,0,0,0,0,0,0,0,0,0,0,0,3,0,2056,58,0,0,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,10254,0,19,0,0,0,0,0,646,2,0,159,0,0,0,6,565,13427,0,0,38881,0,543,0,0,0,0,0,41,0
"SRR18691303",188409,0,11,135,0,27,0,425,6,14,370,0,5,0,240,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,6,0,0,425,0,0,0,8,0,0,0,0,0,0,73,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,184958,0,0,0,0,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1017,0,0,0,0,0,370,8,0,11,0,0,0,0,57,6210,0,0,112388,15,85,0,0,0,0,0,18,0
"SRR18691304",207165,0,34,5194,0,1044,0,2689,0,26,19,34,0,376,1954,0,3,0,0,39,0,550,0,0,0,0,1350,0,0,0,0,0,0,0,0,69,0,165,0,0,2588,0,0,56,493,0,0,0,299,0,0,1422,0,0,61,0,0,0,0,0,38,0,16,0,0,0,0,0,184344,0,101,0,0,12,0,16,0,3,19,0,0,0,0,0,0,0,0,9,1428,376,0,114,1703,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,61,0,0,0,0,0,19,19,0,0,0,19,0,16,7121,0,0,0,175569,17,194,62,221,159,0,0,691,0
"SRR18691305",212865,0,91,835,0,195,0,1578,0,16,17,30,0,0,148,0,0,0,0,0,0,20,0,0,0,0,203,0,0,0,0,0,0,8,0,0,0,119,0,0,1578,0,0,73,52,0,0,12,74,0,0,181,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,206705,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,44,148,0,0,0,0,0,0,0,0,0,0,0,0,5,1597,20,83,0,0,0,0,0,17,0,0,0,0,0,0,0,126,0,0,0,198466,21,20,0,0,0,0,0,59,0
"SRR18691307",243443,0,38,2107,0,67,0,698,5,25,0,7,0,11,602,7,0,5,0,0,0,134,0,0,0,0,561,0,0,0,0,4,0,0,8,5,0,52,0,0,675,0,0,13,90,0,15,0,6,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235000,0,23,0,0,27,0,0,6,0,7,0,0,0,0,0,10,0,0,6,452,11,0,24,393,0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,72,0,0,0,0,0,0,30,0,8,0,0,0,0,1704,0,0,0,223376,16,48,46,27,51,0,0,159,0
"SRR18691308",208799,0,105,9503,0,121,0,3529,0,204,6,30,0,5,3036,8,0,0,0,9,0,2026,0,0,0,0,603,0,0,0,0,10,0,29,0,21,0,174,0,0,3290,0,0,52,651,0,0,0,12,0,0,4937,0,0,0,9,0,0,0,0,0,0,190,0,0,0,0,0,180039,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2269,5,0,7,2251,0,0,0,0,0,0,0,0,0,0,0,0,12,310,0,1589,0,0,0,0,0,6,0,0,0,0,40,0,122,5364,0,0,0,170541,11,461,104,0,6,0,0,1493,0
"SRR18691309",204938,0,14,261,0,16,0,188,0,12,0,0,0,57,21,0,0,0,0,3,0,303,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,14,0,0,184,0,0,0,0,0,0,0,10,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201394,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,57,0,5,21,0,0,0,0,0,0,0,0,0,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1721,0,0,0,186811,12,0,9,0,0,0,0,0,13
"SRR18691310",242011,0,24,14618,0,10,0,131,0,100,0,0,0,164,41513,0,0,6,0,8,0,41,0,0,0,0,192,0,6,55,0,9,0,0,0,10,42,391,0,0,90,0,0,0,6444,0,0,0,75,0,0,345,0,0,12,333,0,0,0,0,0,0,15,44,0,0,4,0,208,0,41,0,0,9246,0,2903,58,58,252,0,0,0,3,0,0,0,757,70,1727,104,0,653,33930,0,0,6,0,0,0,0,0,0,7,18395,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,71417,65416,0,0,0,67,23889,0,60,709,270,0,0,4852,1648
"SRR18691311",234734,0,3,8812,0,0,0,129,0,36,0,0,0,0,54790,15,0,0,0,3,0,251,0,0,0,0,167,0,0,21,0,15,0,0,0,0,6,150,0,0,76,0,0,0,4632,0,0,0,41,0,10,897,0,0,7,92,0,0,0,0,0,0,4,21,0,0,7,0,101,0,53,0,0,20388,0,651,0,10,117,0,4,0,0,0,0,0,566,3,1082,0,0,110,52453,0,0,0,0,0,0,0,0,0,10,2171,0,0,10,0,14,5,3,0,0,0,0,35,0,0,0,6,0,34019,96556,0,0,0,47,49694,9,0,726,213,0,0,1174,490
