"sampleID","read_count","p_Proteobacteria","c_Betaproteobacteria","c_Clostridia","o_Micrococcales","f_Carnobacteriaceae","f_Corynebacteriaceae","f_Enterobacteriaceae","f_Lachnospiraceae","f_Mycoplasmataceae","f_Neisseriaceae","f_Pasteurellaceae","f_Peptostreptococcaceae","f_Prevotellaceae","g_Acidaminococcus","g_Acinetobacter","g_Actinobacillus","g_Actinobaculum","g_Actinomyces","g_Actinotignum","g_Aerococcus","g_Alistipes","g_Alloprevotella","g_Alloscardovia","g_Anaerococcus","g_Anaeroglobus","g_Anaerostipes","g_Arcanobacterium","g_Bacillus","g_Bacteroides","g_Bifidobacterium","g_Blautia","g_Brevibacterium","g_Bulleidia","g_Campylobacter","g_Citrobacter","g_Collinsella","g_Corynebacterium","g_Cupriavidus","g_Dermabacter","g_Dialister","g_Dorea","g_Enterobacter","g_Enterococcus","g_Ezakiella","g_Facklamia","g_Faecalibacterium","g_Finegoldia","g_Fusicatenibacter","g_Fusobacterium","g_Gemella","g_Granulicatella","g_Haemophilus","g_Helcobacillus","g_Helcococcus","g_Helicobacter","g_Howardella","g_Jonquetella","g_Klebsiella","g_Kocuria","g_Lachnoclostridium","g_Lachnospira","g_Lactobacillus","g_Lactococcus","g_Leptotrichia","g_Megasphaera","g_Micrococcus","g_Mobiluncus","g_Moryella","g_Murdochiella","g_Mycoplasma","g_Negativicoccus","g_Neisseria","g_Nosocomiicoccus","g_Olsenella","g_Parabacteroides","g_Parvimonas","g_Pasteurella","g_Peptococcus","g_Peptoniphilus","g_Peptostreptococcus","g_Phascolarctobacterium","g_Porphyromonas","g_Prevotella","g_Propionimicrobium","g_Proteus","g_Pseudarthrobacter","g_Pyramidobacter","g_Rhizobium","g_Romboutsia","g_Roseburia","g_Rothia","g_Serratia","g_Slackia","g_Sneathia","g_Solobacterium","g_Sphingomonas","g_Staphylococcus","g_Stenotrophomonas","g_Streptococcus","g_Subdoligranulum","g_Sutterella","g_Tessaracoccus","g_Trueperella","g_Ureaplasma","g_Varibaculum","g_Veillonella","Atopobium_deltae","Atopobium_minutum","Gardnerella_vaginalis","Lactobacillus_crispatus","Lactobacillus_delbrueckii","Lactobacillus_gasseri","Lactobacillus_iners","Lactobacillus_jensenii","Prevotella_amnii","Prevotella_bergensis","Prevotella_bivia","Prevotella_buccalis","Prevotella_copri","Prevotella_corporis","Prevotella_denticola","Prevotella_disiens","Prevotella_histicola","Prevotella_melaninogenica","Prevotella_nanceiensis","Prevotella_oris","Prevotella_stercorea","Prevotella_timonensis","Prevotella_veroralis","Shuttleworthia_satelles","Sneathia_sanguinegens"
"SRR063047",2245,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR063006",2288,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,2142,0,0,68,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR063054",2172,3,1,2,0,0,42,1,1,0,0,0,0,622,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,1,0,0,0,1,0,42,0,0,47,0,0,1,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,622,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,398,0,0,0,0,0,6,55,0,0,46,0,0,0,1,0,0,0,132,1,0,0,0,0,0,0,0,0,0,489,0,0,0
"SRR062814",1342,0,0,2,0,0,0,0,0,0,0,0,2,513,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,2,0,0,0,0,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,2,0,2,513,0,0,0,0,0,0,0,0,0,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,26,0,275,0,3,3,0,0,0,0,0,0,0,0,0,232,0,0,536
"SRR062967",2393,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1973,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR062831",2866,12,3,43,0,0,1,0,0,0,0,3,0,52,0,0,0,0,0,0,1,0,0,0,52,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,24,0,0,0,4,0,0,79,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2457,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,57,0,0,5,52,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,60,0,3,0,0,0,9,1,0,0,0,4,0,2,2451,0,0,0,0,10,0,0,0,4,0,0,0,0,0,38,0,0,0
"SRR062800",1054,0,0,11,0,0,0,0,0,8,0,0,0,379,0,0,0,0,0,0,14,0,0,0,6,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,29,0,0,0,379,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,318,0,257,0,0,107,0,0,0,0,0,0,0,0,0,15,0,0,117
"SRR062731",988,0,0,13,0,0,3,0,0,10,0,0,13,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,6,0,0,0,0,0,0,9,0,45,7,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,0,10,13,0,1,348,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,131,0,57,1,78,15,0,0,0,14,0,2,0,0,0,180,0,0,109
"SRR062736",1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR062725",1821,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1793,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1791,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
