sampleID,read_count,d_NA,p_Proteobacteria,c_Clostridia,o_Clostridiales,o_Micrococcales,f_Carnobacteriaceae,f_Corynebacteriaceae,f_Enterobacteriaceae,f_Lachnospiraceae,f_Mycoplasmataceae,f_Neisseriaceae,f_Pasteurellaceae,f_Peptostreptococcaceae,f_Prevotellaceae,f_Ruminococcaceae,g_Acidaminococcus,g_Actinomyces,g_Actinotignum,g_Aerococcus,g_Alistipes,g_Alloprevotella,g_Anaerococcus,g_Anaeroglobus,g_Anaerostipes,g_Arcanobacterium,g_Bacteroides,g_Bifidobacterium,g_Blautia,g_Brevibacterium,g_Bulleidia,g_Campylobacter,g_Collinsella,g_Corynebacterium,g_Dermabacter,g_Dialister,g_Dorea,g_Enterobacter,g_Enterococcus,g_Ezakiella,g_Facklamia,g_Faecalibacterium,g_Finegoldia,g_Fusicatenibacter,g_Fusobacterium,g_Gallicola,g_Gemella,g_Globicatella,g_Granulicatella,g_Haemophilus,g_Helcococcus,g_Howardella,g_Jonquetella,g_Klebsiella,g_Kocuria,g_Lachnoclostridium,g_Lactobacillus,g_Lawsonella,g_Leptotrichia,g_Megasphaera,g_Micrococcus,g_Mobiluncus,g_Mogibacterium,g_Moryella,g_Murdochiella,g_Mycoplasma,g_Negativicoccus,g_Neisseria,g_Nosocomiicoccus,g_Oligella,g_Olsenella,g_Parabacteroides,g_Parvimonas,g_Peptococcus,g_Peptoniphilus,g_Peptostreptococcus,g_Phascolarctobacterium,g_Porphyromonas,g_Prevotella,g_Propionimicrobium,g_Proteus,g_Pyramidobacter,g_Ralstonia,g_Romboutsia,g_Roseburia,g_Rothia,g_Sneathia,g_Staphylococcus,g_Stenotrophomonas,g_Streptococcus,g_Subdoligranulum,g_Sutterella,g_Tessaracoccus,g_Trueperella,g_Ureaplasma,g_Varibaculum,g_Veillonella,Atopobium_deltae,Atopobium_minutum,Atopobium_vaginae,Gardnerella_vaginalis,Lactobacillus_crispatus,Lactobacillus_delbrueckii,Lactobacillus_gasseri,Lactobacillus_iners,Lactobacillus_jensenii,Prevotella_amnii,Prevotella_bergensis,Prevotella_bivia,Prevotella_buccalis,Prevotella_colorans,Prevotella_corporis,Prevotella_disiens,Prevotella_timonensis,Sneathia_amnii,Sneathia_sanguinegens,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
SRR902006,434845,0,35,4766,0,44,5,108,0,28,325,0,35,7,5690,0,0,8,0,6390,0,0,1733,0,0,29,0,147,0,0,12,0,0,108,0,425,0,0,0,0,3,0,282,0,0,0,878,0,5,35,0,28,0,0,0,0,255746,0,0,1385,44,0,0,0,4,128,0,0,0,0,0,0,1329,0,374,7,0,0,5296,0,0,0,0,0,0,0,1053,334,0,11509,0,0,0,0,197,0,441,0,0,2144,65280,152,0,2339,200239,7000,4081,0,352,0,0,0,0,32,276,0,0.00428925042208775,0.03743511193404815,0.045402766028630616,0.4259287178725514,0.43771169864025117,0.08131255163090426,0.16633449615652682,0.06482527572347578,0.03254582990713418,0.010651645578447078,0.005080062042720807,0.08917459172689415,0.17124791428504024,III-B,0.43771169864025117,III
SRR902881,5591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,16,0,0,0,3688,165,0,0,0,0,0,0,0,0,0,0,0.004046168060375095,0.03014362478308097,0.023667712517415757,0.37732374782297656,0.30059649287216966,0.025215767380843756,0.05270146181992571,0.03380213396711734,0.00960709930642271,0.0061216131500385065,0.0006495983017105938,0.057399470985239585,0.11994136506969091,III-A,0.37732374782297656,III
SRR903842,4924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3345,48,0,0,0,0,0,0,0,0,0,0,0.003956426978245992,0.029922531064782956,0.023926731038707957,0.3859665662775178,0.30567044548075867,0.02540104057306236,0.05306062238968499,0.033987700585895,0.009158330944940625,0.006122126893346006,0.0005079885941878051,0.05803023534782729,0.11396932322530953,III-A,0.3859665662775178,III
SRR903941,5248,0,0,10,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,159,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,43,4,0,1823,0,0,0,0,0,0,137,0,0,0,1246,0,0,0,1709,8,4,0,6,0,0,0,0,0,0,0,0.0031015251907639497,0.03555756751589506,0.05578132361671606,0.32672798216064747,0.40749444710559096,0.13227326868828443,0.28485280142650776,0.12808200809659406,0.40963951529937354,0.028187666782145158,0.0606267951958593,0.12882562134608663,0.15690371495798114,IV-C1,0.40963951529937354,IV-C
SRR903945,3784,0,0,145,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,118,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,117,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,41,0,0,0,0,0,0,0,107,0,0,161,0,0,0,0,0,0,77,0,0,29,2236,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0.0018327880104875645,0.02203522553073413,0.07053381846517898,0.13650763061799226,0.23020084559181417,0.2771870367848477,0.6522894621465894,0.07222042184892483,0.0571079768709257,0.014307725627547417,0.009758971294100641,0.07510953674076995,0.11820495672460833,IV-B,0.6522894621465894,IV-B
SRR904009,4540,0,0,55,0,0,0,0,0,0,6,0,0,0,26,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,26,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,6,0,0,0,0,66,2807,0,0,0,1357,17,5,0,0,0,0,0,0,0,0,0,0.002715589469782082,0.029101220954015166,0.06990917074531056,0.2491277960410231,0.3300668251022384,0.22807510013084392,0.5151859205449263,0.06343314207892184,0.020847310112105395,0.012895825870025274,0.0018673757873709006,0.08335543174745706,0.1500690154565702,IV-B,0.5151859205449263,IV-B
SRR904010,5895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,9,2332,0,0,0,3300,31,0,0,0,0,0,0,0,0,0,0,0.0038531431278647182,0.03755045602112316,0.05561378300480407,0.4621185427640235,0.4663134694990228,0.12503627271731274,0.26272743070099447,0.06148382294999973,0.018936329043258635,0.011642887007934007,0.0015221835151196684,0.09281697805226323,0.17608494585015017,III-B,0.4663134694990228,III
SRR904011,5873,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,23,0,0,0,0,0,0,0,0,0,5,1596,0,0,0,3967,58,0,0,0,0,0,0,0,0,0,0,0.004040702506140886,0.03731898297265325,0.04539676373856719,0.5050556747875359,0.4534906489257999,0.08241702975329229,0.16943373685256083,0.05369354809311209,0.017467334327896593,0.010208661300176284,0.0014885915991656585,0.0859313843953473,0.1671739709035774,III-A,0.5050556747875359,III
SRR904012,5289,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,1106,0,0,0,3945,81,0,0,0,0,0,0,0,0,0,0,0.004058654776005616,0.03622185748698241,0.03989828693141837,0.5078695608545702,0.42863077737504596,0.06383502753032802,0.13051050087233043,0.04824549701010728,0.014340504266268013,0.009209904859197676,0.0010305459655013775,0.07987487898727762,0.15880220997293543,III-A,0.5078695608545702,III
SRR904013,5615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,13,5360,88,0,0,0,0,0,0,0,0,0,0,0.003794050755520634,0.03143369498086771,0.027398760336397026,0.47134160188634777,0.34686179622510843,0.027539356276076784,0.05755503479332276,0.035680254566625824,0.01024588713400137,0.006837442475931789,0.0005689197739828346,0.06339971885938758,0.12668145678465179,III-A,0.47134160188634777,III
