sampleID,read_count,d_Eukaryota,p_Proteobacteria,c_Clostridia,o_Micrococcales,f_Carnobacteriaceae,f_Corynebacteriaceae,f_Enterobacteriaceae,f_Lachnospiraceae,f_Mycoplasmataceae,f_Neisseriaceae,f_Pasteurellaceae,f_Peptostreptococcaceae,f_Prevotellaceae,g_Acinetobacter,g_Actinomyces,g_Actinotignum,g_Aerococcus,g_Alistipes,g_Alloprevotella,g_Anaerococcus,g_Anaeroglobus,g_Arcanobacterium,g_Bacteroides,g_Bulleidia,g_Campylobacter,g_Citrobacter,g_Corynebacterium,g_Cupriavidus,g_Delftia,g_Dialister,g_Enterobacter,g_Enterococcus,g_Ezakiella,g_Facklamia,g_Finegoldia,g_Fusobacterium,g_Gallicola,g_Gemella,g_Granulicatella,g_Haemophilus,g_Howardella,g_Jonquetella,g_Klebsiella,g_Kluyvera,g_Kocuria,g_Lachnoclostridium,g_Lactobacillus,g_Lactococcus,g_Lawsonella,g_Megasphaera,g_Micrococcus,g_Mobiluncus,g_Mogibacterium,g_Moryella,g_Murdochiella,g_Mycoplasma,g_Negativicoccus,g_Neisseria,g_Parvimonas,g_Peptococcus,g_Peptoniphilus,g_Peptostreptococcus,g_Phascolarctobacterium,g_Porphyromonas,g_Prevotella,g_Propionimicrobium,g_Proteus,g_Ralstonia,g_Rothia,g_Sneathia,g_Solobacterium,g_Sphingomonas,g_Staphylococcus,g_Stenotrophomonas,g_Streptococcus,g_Sutterella,g_Ureaplasma,g_Varibaculum,g_Variovorax,g_Veillonella,Atopobium_deltae,Atopobium_minutum,Atopobium_vaginae,Gardnerella_vaginalis,Lactobacillus_crispatus,Lactobacillus_delbrueckii,Lactobacillus_gasseri,Lactobacillus_iners,Lactobacillus_jensenii,Prevotella_amnii,Prevotella_bivia,Prevotella_buccalis,Prevotella_colorans,Prevotella_disiens,Prevotella_timonensis,Sneathia_amnii,Sneathia_sanguinegens,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
SRR2915463,7788,0,0,720,0,0,0,0,0,0,0,0,0,2069,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,999,0,0,270,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2069,0,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,2338,0,2,0,0,990,0,1551,0,0,0,0,0,0,0,0.001335332514209738,0.012739968006170402,0.013760696206908729,0.11137840082801757,0.12654762737346698,0.0914620588269417,0.1372277886340597,0.031492612147260735,0.004921352724992474,0.0050115904920594615,0.0005288487401568071,0.034189881818875466,0.0548922117703245,IV-B,0.1372277886340597,IV-B
SRR2915464,5918,0,282,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,286,0,0,5111,221,0,0,0,0,0,0,0,0,0.022430512982821022,0.04946299007997412,0.026750692608505686,0.4638584369238882,0.3549846008725576,0.02744229684804906,0.057741585285336156,0.03788741607369267,0.010426707049448666,0.00772276076787326,0.0006729382236594727,0.0645705236270052,0.13642949508608002,III-A,0.4638584369238882,III
SRR2915465,8909,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8767,0,0,76,42,0,0,0,0,0,0,0,0,0.4903025005225883,0.40677806275860406,0.0028022981824907946,0.004007247495769999,0.05876354572598404,0.000909264540988133,0.00565045650909311,0.02026803123444694,0.003739859431279494,0.01534355655802045,0.0014581534886960843,0.004167725572641064,0.01738886493786745,I-A,0.4903025005225883,I
SRR2915466,5975,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5474,0,0,0,0,0,0,0,0,0,0.003762819479525774,0.03078670191312538,0.025947711854042335,0.4564108776371093,0.3381530364890906,0.026429670383042832,0.05530511728196571,0.03502546106183764,0.009959264861331373,0.0066259100797927085,0.0005345013663023149,0.06209935899169234,0.11943585583763408,III-A,0.4564108776371093,III
SRR2915467,7774,0,0,1219,0,0,0,0,0,0,0,0,0,1093,0,0,0,12,0,0,7,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,10,0,0,759,0,0,0,0,0,0,0,0,102,0,0,0,0,0,1093,0,0,0,0,2156,0,0,0,0,0,0,0,0,0,0,0,0,1896,5,0,0,0,10,0,727,0,0,0,0,0,25,0,4.9977524760854093e-05,0.0012246395109679472,0.0033585225195243507,0.0013371284368408247,0.006390174914038328,0.08113974603609263,0.11119755344941765,0.009669365544933422,0.0013201870822723669,0.002509919119963589,0.00046056529132966825,0.005276077349376681,0.004818615346905687,IV-B,0.11119755344941765,IV-B
SRR2915468,7127,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6567,0,0,0,0,0,0,0,0,0,0.0037572304753719595,0.03074341741775689,0.02592000732962167,0.45634813016560527,0.3375940279549235,0.02637110681195841,0.05518393139203685,0.03493392565869395,0.009949621192815545,0.006618964486691775,0.0005338115251869061,0.06199337052199559,0.11925000644183553,III-A,0.45634813016560527,III
SRR2915469,8975,0,0,45,0,0,0,0,0,0,0,0,0,692,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,0,1445,0,0,0,0,0,0,0,0,0,0,9,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6146,0,0,0,0,488,0,0,148,0,0,0,0,0,0,0.0004832162042678502,0.00597234345757469,0.00947703486510546,0.03871392553584109,0.04701056865457242,0.08879829193651886,0.16989637850927328,0.01553910631343369,0.0030121575288718783,0.005360651614058048,0.0009288078997914217,0.01748387263621408,0.023878168205028208,IV-B,0.16989637850927328,IV-B
SRR2915470,6773,0,618,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,6,0,0,0,0,0,0,0,0,0,0.0031322610135198284,0.009266834849333293,0.00022710973476621673,0.000722360408812761,0.0038076709336689212,0.00021374057321830358,0.00027369063145676946,0.00033124110993647395,2.5428871763933374e-05,4.718311162717777e-05,1.5456527082963466e-05,0.00018300470751325267,0.0015260901937511472,I-B,0.009266834849333293,I
SRR2915471,6477,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0.003167510255301438,0.009163686606718917,0.00034216014807547304,0.0021609979867948307,0.004933710388694917,0.00023099735188749954,0.0005055549949717399,0.0004349658963381167,7.143922195329825e-05,7.779298639565381e-05,1.1769814306372864e-05,0.0004778382015462615,0.002001056557979337,I-B,0.009163686606718917,I
SRR2915472,6825,0,0,160,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,2385,0,0,0,0,0,0,0,0,0,0,0,0,2968,0,0,0,0,0,0,0,0,0,16,0,0,1906,0,4.21528256610004e-05,0.0012749342471152043,0.004129280893334081,0.00021345020981756129,0.00537711559341637,0.05028640636658352,0.11077005053900517,0.004488354212949094,0.0009868261156296251,0.0029120742757501815,0.00028028618815187573,0.005733773078442118,0.005257491566305455,IV-B,0.11077005053900517,IV-B
