sampleID,read_count,p_Proteobacteria,c_Betaproteobacteria,c_Clostridia,o_Micrococcales,f_Carnobacteriaceae,f_Corynebacteriaceae,f_Enterobacteriaceae,f_Lachnospiraceae,f_Mycoplasmataceae,f_Neisseriaceae,f_Pasteurellaceae,f_Peptostreptococcaceae,f_Prevotellaceae,g_Acidaminococcus,g_Acinetobacter,g_Actinobacillus,g_Actinobaculum,g_Actinomyces,g_Actinotignum,g_Aerococcus,g_Alistipes,g_Alloprevotella,g_Alloscardovia,g_Anaerococcus,g_Anaeroglobus,g_Anaerostipes,g_Arcanobacterium,g_Bacillus,g_Bacteroides,g_Bifidobacterium,g_Blautia,g_Brevibacterium,g_Bulleidia,g_Campylobacter,g_Citrobacter,g_Collinsella,g_Corynebacterium,g_Cupriavidus,g_Dermabacter,g_Dialister,g_Dorea,g_Enterobacter,g_Enterococcus,g_Ezakiella,g_Facklamia,g_Faecalibacterium,g_Finegoldia,g_Fusicatenibacter,g_Fusobacterium,g_Gemella,g_Granulicatella,g_Haemophilus,g_Helcobacillus,g_Helcococcus,g_Helicobacter,g_Howardella,g_Jonquetella,g_Klebsiella,g_Kocuria,g_Lachnoclostridium,g_Lachnospira,g_Lactobacillus,g_Lactococcus,g_Leptotrichia,g_Megasphaera,g_Micrococcus,g_Mobiluncus,g_Moryella,g_Murdochiella,g_Mycoplasma,g_Negativicoccus,g_Neisseria,g_Nosocomiicoccus,g_Olsenella,g_Parabacteroides,g_Parvimonas,g_Pasteurella,g_Peptococcus,g_Peptoniphilus,g_Peptostreptococcus,g_Phascolarctobacterium,g_Porphyromonas,g_Prevotella,g_Propionimicrobium,g_Proteus,g_Pseudarthrobacter,g_Pyramidobacter,g_Rhizobium,g_Romboutsia,g_Roseburia,g_Rothia,g_Serratia,g_Slackia,g_Sneathia,g_Solobacterium,g_Sphingomonas,g_Staphylococcus,g_Stenotrophomonas,g_Streptococcus,g_Subdoligranulum,g_Sutterella,g_Tessaracoccus,g_Trueperella,g_Ureaplasma,g_Varibaculum,g_Veillonella,Atopobium_deltae,Atopobium_minutum,Gardnerella_vaginalis,Lactobacillus_crispatus,Lactobacillus_delbrueckii,Lactobacillus_gasseri,Lactobacillus_iners,Lactobacillus_jensenii,Prevotella_amnii,Prevotella_bergensis,Prevotella_bivia,Prevotella_buccalis,Prevotella_copri,Prevotella_corporis,Prevotella_denticola,Prevotella_disiens,Prevotella_histicola,Prevotella_melaninogenica,Prevotella_nanceiensis,Prevotella_oris,Prevotella_stercorea,Prevotella_timonensis,Prevotella_veroralis,Shuttleworthia_satelles,Sneathia_sanguinegens,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
SRR063047,2245,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036903663235317193,0.030889786874105842,0.02650231902101807,0.4741342854543522,0.3446523968572852,0.026597814820532414,0.05567120835085945,0.03509051185122366,0.01013630102597846,0.006746812101794444,0.000551971883014821,0.06293176650298858,0.1211510483124694,III-A,0.4741342854543522,III
SRR063006,2288,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,2142,0,0,68,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48079065636719337,0.40465405983953645,0.0034403697250529404,0.011631679484935606,0.065355403564899,0.0015128979621911876,0.006933638997850624,0.021325510223421093,0.004882924598340448,0.015541668209417684,0.0016953388042221544,0.006209460425148148,0.025412922279433717,I-A,0.48079065636719337,I
SRR063054,2172,3,1,2,0,0,42,1,1,0,0,0,0,622,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,1,0,0,0,1,0,42,0,0,47,0,0,1,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,622,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,398,0,0,0,0,0,6,55,0,0,46,0,0,0,1,0,0,0,132,1,0,0,0,0,0,0,0,0,0,489,0,0,0,0.0006775109930281346,0.008729740176314976,0.01892932028632159,0.0026743111960820867,0.016254814559954728,0.048743197962308395,0.05229356567627954,0.17023481356208006,0.2047766096722082,0.012823857311158322,0.043002798800165734,0.03364933219031749,0.010591442127802648,IV-C1,0.2047766096722082,IV-C
SRR062814,1342,0,0,2,0,0,0,0,0,0,0,0,2,513,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,2,0,0,0,0,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,2,0,2,513,0,0,0,0,0,0,0,0,0,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,26,0,275,0,3,3,0,0,0,0,0,0,0,0,0,232,0,0,536,0.0010993733796902428,0.00331361736692073,0.004218972916179123,0.012108065494799508,0.01455501673544057,0.05183558146849209,0.049444858120370715,0.017783676908306383,0.0026055036840619177,0.0013398653787428836,0.0013293174753506718,0.0058821304552861995,0.0066020339438199955,IV-A,0.05183558146849209,IV-A
SRR062967,2393,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1973,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004417223650734882,0.03340200083130896,0.025211056301625616,0.4281115295168007,0.32399287987482034,0.025598151398065462,0.0538471591794953,0.03476058987967494,0.009743813067943701,0.006707719186431271,0.0006476009828342549,0.06043110136829629,0.17063085752505816,III-A,0.4281115295168007,III
SRR062831,2866,12,3,43,0,0,1,0,0,0,0,3,0,52,0,0,0,0,0,0,1,0,0,0,52,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,24,0,0,0,4,0,0,79,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2457,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,57,0,0,5,52,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,60,0,3,0,0,0,9,1,0,0,0,4,0,2,2451,0,0,0,0,10,0,0,0,4,0,0,0,0,0,38,0,0,0,0.004472579468407452,0.03456918631169419,0.029936761894191283,0.5121498190028896,0.3929770161305323,0.031287035989135195,0.06477550811722037,0.04511302149576894,0.019191402214907866,0.007945759910435207,0.0024964926354686017,0.07199364831671812,0.13602727495899627,III-A,0.5121498190028896,III
SRR062800,1054,0,0,11,0,0,0,0,0,8,0,0,0,379,0,0,0,0,0,0,14,0,0,0,6,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,29,0,0,0,379,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,318,0,257,0,0,107,0,0,0,0,0,0,0,0,0,15,0,0,117,0.002274001116857967,0.022733910598752398,0.02129111538476052,0.2518204132349593,0.2505362457156245,0.06642271623478577,0.0818011041320622,0.04800280035752124,0.009025267679374093,0.005518966696947926,0.0014775304115973828,0.05428787159649311,0.09623566815512932,III-A,0.2518204132349593,III
SRR062731,988,0,0,13,0,0,3,0,0,10,0,0,13,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,6,0,0,0,0,0,0,9,0,45,7,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,0,10,13,0,1,348,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,131,0,57,1,78,15,0,0,0,14,0,2,0,0,0,180,0,0,109,0.0012463123713708714,0.013397534447363474,0.015180353011266882,0.11407499289598232,0.1258540891088052,0.06628999948594329,0.07060200244440688,0.06027203374195311,0.007656580031385126,0.003732659610900318,0.0034920931870634363,0.03354187120883866,0.053361730526620306,III-B,0.1258540891088052,III
SRR062736,1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493588728253321,0.40772914100578267,0.002576962290446648,0.0011700270356419476,0.056358977679809526,0.000683948301707863,0.0051843664222083145,0.019945648159855084,0.00365759273325525,0.015315236199840047,0.0014538496243921577,0.0036428568913285417,0.015343218780158306,I-A,0.493588728253321,I
SRR062725,1821,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1793,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1791,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4973363881955651,0.41274548632274277,0.0027060176183671125,0.001553451130179967,0.057326752842075626,0.0007452502948547784,0.005374826944244889,0.020684973210380334,0.004088738981946411,0.015504351857610045,0.0015924862830527628,0.003944099528041543,0.015671923468005288,I-A,0.4973363881955651,I
