sampleID,read_count,p_Proteobacteria,c_Betaproteobacteria,c_Clostridia,o_Micrococcales,f_Corynebacteriaceae,f_Enterobacteriaceae,f_Lachnospiraceae,f_Mycoplasmataceae,f_Neisseriaceae,f_Pasteurellaceae,f_Peptostreptococcaceae,f_Prevotellaceae,g_Actinobaculum,g_Actinomyces,g_Aerococcus,g_Alistipes,g_Anaerococcus,g_Arcanobacterium,g_Bacteroides,g_Bifidobacterium,g_Blautia,g_Brevibacterium,g_Campylobacter,g_Corynebacterium,g_Delftia,g_Dialister,g_Dorea,g_Enterococcus,g_Ezakiella,g_Faecalibacterium,g_Finegoldia,g_Fusobacterium,g_Gemella,g_Haemophilus,g_Lactobacillus,g_Megasphaera,g_Mobiluncus,g_Moryella,g_Mycoplasma,g_Neisseria,g_Parabacteroides,g_Parvimonas,g_Peptoniphilus,g_Peptostreptococcus,g_Porphyromonas,g_Prevotella,g_Roseburia,g_Slackia,g_Sneathia,g_Staphylococcus,g_Streptococcus,g_Sutterella,g_Ureaplasma,g_Varibaculum,g_Veillonella,Atopobium_minutum,Gardnerella_vaginalis,Lactobacillus_crispatus,Lactobacillus_gasseri,Lactobacillus_iners,Lactobacillus_jensenii,Prevotella_amnii,Prevotella_bergensis,Prevotella_bivia,Prevotella_buccalis,Prevotella_disiens,Prevotella_melaninogenica,Prevotella_timonensis,Sneathia_sanguinegens,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
X1130,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,1207,0,0,0,0,0,0,0,0,0,0.003930083919569521,0.03480441334073935,0.035054104497270505,0.5159168620267721,0.4118795754129778,0.04840526480587819,0.09948927474414827,0.044359837546314326,0.012883976997334635,0.008378933709175725,0.0012430057306349427,0.07542089129684293,0.14433781431275688,III-A,0.5159168620267721,III
X1239,15551,29,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13330,1,2157,21,0,0,0,0,0,0,0,0,0.45001570921642836,0.3892846742174218,0.006488087381296673,0.052688876587947575,0.09980142891080358,0.004750745492754024,0.013454541763874471,0.025072299617919954,0.005111211913892418,0.015692884077871186,0.0014849978800632166,0.012881043783007242,0.032634253146005876,I-A,0.45001570921642836,I
X1126,1841,7,0,27,0,0,5,0,3,0,0,27,493,0,0,10,0,30,0,0,0,0,0,0,0,0,16,0,0,0,0,30,0,0,0,1070,0,0,0,3,0,0,0,2,27,0,493,0,0,4,0,4,0,0,0,2,0,52,113,3,912,42,0,0,427,0,0,31,35,4,0.03967104059595603,0.06981106786255382,0.03055439722719067,0.38869459649535704,0.36538215149896563,0.04955398120217083,0.08310983803616592,0.06710832858866538,0.013892576171895578,0.009686320189658738,0.005366333063140416,0.07164781925810138,0.144517828777445,III-A,0.38869459649535704,III
X1137,2735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,56,3,2587,62,0,0,0,0,0,0,0,0,0.010944126941900691,0.037962396229896604,0.02681428125854275,0.4669697856565686,0.3459382231213583,0.027047635139020237,0.05668883770349709,0.03590152703127665,0.010230125824810508,0.0071083800589829965,0.0006048226807585593,0.06303611947214736,0.12821291525872675,III-A,0.4669697856565686,III
X1128,579,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,1,90,25,0,0,0,0,0,0,0,0,0.42749296057187436,0.3771238263001285,0.0077256035082930935,0.06221188982946202,0.10714536877738447,0.0054842344089815025,0.014970871505794308,0.025929113159524588,0.005277423328795533,0.015539828594328488,0.0014872934216433643,0.014617238788945493,0.04736843397677625,I-A,0.42749296057187436,I
X1211,1116,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,748,39,0,0,0,0,0,0,0,0,0.12330426677500497,0.1407327239198535,0.02360702750913972,0.36509893689820766,0.3165383631341406,0.023999042280250415,0.05162141905967893,0.03953262581300971,0.009976662063274145,0.01103581794949603,0.0009879343741790118,0.05634895057928096,0.12291767519070826,III-A,0.36509893689820766,III
X1326,1058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,0,0,0,0,0,0,0,0,0,0.003689720237597364,0.0308862894404458,0.026378464394850157,0.4742381022065547,0.3446982732881732,0.026600039328074202,0.055675024659637834,0.035086297115877144,0.010132036114366699,0.006736010747221824,0.0005428360241147825,0.06282618414046143,0.12115683787689828,III-A,0.4742381022065547,III
X1284,562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,439,119,0,0,0,0,0,0,0,0,0.006604571122952655,0.03554450896568228,0.024429590137949195,0.40667256644110944,0.3110253603388395,0.024762108582334675,0.05217080649258768,0.03397790805176678,0.009472440103146995,0.006681358489917452,0.0006723216096554954,0.058526908645946146,0.1834999821690403,III-A,0.40667256644110944,III
X1290,904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,2,0,0,0,0,0,0,0,0,0,0.4935174941382803,0.40812678249842094,0.0026360868938511265,0.001887239150750429,0.05703935660575213,0.0007460611959204577,0.005319900405215311,0.02005629234513,0.003684549524698796,0.015339713415143218,0.0014653798398999586,0.0037798092865630947,0.01560381217039439,I-A,0.4935174941382803,I
X1216,1692,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1683,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,514,0,1166,2,0,0,0,0,0,0,0,0,0.1381054173268657,0.15182536984071393,0.02310020315949851,0.3573334646219111,0.3097906334910757,0.023266066599403088,0.05010543658051236,0.03885332804216089,0.009872196163307059,0.01134656202023102,0.001001432933268075,0.05476968942270677,0.10833106292754338,III-A,0.3573334646219111,III
